
Guild	Immortal~
Who	{cImmortal Clan{x~
Rooms	3	3	1
Rank	1	Quest Runner~
Rank	2	Guild Imm~
Rank	3	Builder~
Rank	4	Coder~
Rank	5	Head Builder~
Rank	6	Head Coder~
Skill	1	Story Teller~
Skill	2	Master of Arms~
Skill	6	Remake Pattern~
ML	1  1  1  1
Flags E 


Guild	Council~
Who	{rCouncil {Rof {rBleh!{x~
Rooms	0	0	0
Rank	1	Executioner in Training~
Rank	2	Egocentric Megalomaniac~
Rank	3	Master Executioner~
Rank	4	Hopeless Addict~
Rank	5	Drug Pusher~
Rank	6	Slothful Drunk~
ML	1  1  1  1
Flags 0 


End
